DATE,USEPUINDXD
2013-08-12,80.69000
2013-08-13,82.77000
2013-08-14,65.28000
2013-08-15,43.95000
2013-08-16,76.50000
2013-08-17,67.78000
2013-08-18,121.14000
2013-08-19,136.62000
2013-08-20,111.56000
2013-08-21,96.17000
2013-08-22,89.29000
2013-08-23,45.99000
2013-08-24,106.31000
2013-08-25,124.21000
2013-08-26,124.03000
2013-08-27,86.16000
2013-08-28,64.04000
2013-08-29,87.64000
2013-08-30,91.16000
2013-08-31,101.91000
2013-09-01,100.75000
2013-09-02,137.60000
2013-09-03,168.05000
2013-09-04,133.57000
2013-09-05,121.68000
2013-09-06,174.48000
2013-09-07,179.74000
2013-09-08,95.48000
2013-09-09,59.96000
2013-09-10,53.00000
2013-09-11,96.02000
2013-09-12,59.84000
2013-09-13,39.94000
2013-09-14,91.28000
2013-09-15,83.42000
2013-09-16,149.94000
2013-09-17,127.79000
2013-09-18,84.39000
2013-09-19,87.37000
2013-09-20,160.51000
2013-09-21,230.70000
2013-09-22,115.33000
2013-09-23,105.52000
2013-09-24,127.69000
2013-09-25,134.20000
2013-09-26,83.62000
2013-09-27,91.83000
2013-09-28,124.00000
2013-09-29,127.01000
2013-09-30,156.80000
2013-10-01,271.77000
2013-10-02,205.03000
2013-10-03,142.62000
2013-10-04,187.28000
2013-10-05,170.83000
2013-10-06,173.15000
2013-10-07,135.95000
2013-10-08,198.47000
2013-10-09,164.69000
2013-10-10,208.16000
2013-10-11,197.50000
2013-10-12,173.80000
2013-10-13,255.14000
2013-10-14,317.57000
2013-10-15,311.33000
2013-10-16,302.38000
2013-10-17,323.65000
2013-10-18,199.23000
2013-10-19,151.96000
2013-10-20,152.96000
2013-10-21,10.92000
2013-10-22,101.82000
2013-10-23,172.74000
2013-10-24,85.92000
2013-10-25,125.94000
2013-10-26,75.55000
2013-10-27,145.56000
2013-10-28,87.68000
2013-10-29,168.70000
2013-10-30,178.66000
2013-10-31,67.75000
2013-11-01,45.43000
2013-11-02,118.26000
2013-11-03,146.81000
2013-11-04,146.15000
2013-11-05,63.38000
2013-11-06,57.22000
2013-11-07,46.97000
2013-11-08,84.94000
2013-11-09,116.91000
2013-11-10,77.95000
2013-11-11,179.62000
2013-11-12,7.71000
2013-11-13,55.90000
2013-11-14,48.95000
2013-11-15,68.24000
2013-11-16,85.40000
2013-11-17,86.17000
2013-11-18,98.11000
2013-11-19,83.02000
2013-11-20,94.99000
2013-11-21,92.72000
2013-11-22,67.16000
2013-11-23,26.78000
2013-11-24,94.28000
2013-11-25,138.46000
2013-11-26,36.52000
2013-11-27,41.47000
2013-11-28,116.17000
2013-11-29,95.19000
2013-11-30,93.59000
2013-12-01,119.23000
2013-12-02,115.32000
2013-12-03,103.28000
2013-12-04,98.29000
2013-12-05,71.41000
2013-12-06,59.69000
2013-12-07,77.94000
2013-12-08,72.95000
2013-12-09,67.72000
2013-12-10,98.47000
2013-12-11,101.72000
2013-12-12,110.87000
2013-12-13,127.96000
2013-12-14,105.51000
2013-12-15,96.72000
2013-12-16,100.86000
2013-12-17,99.02000
2013-12-18,97.71000
2013-12-19,152.19000
2013-12-20,52.07000
2013-12-21,64.44000
2013-12-22,158.54000
2013-12-23,75.16000
2013-12-24,29.66000
2013-12-25,50.02000
2013-12-26,33.17000
2013-12-27,71.17000
2013-12-28,70.37000
2013-12-29,121.37000
2013-12-30,86.24000
2013-12-31,130.03000
2014-01-01,173.05000
2014-01-02,103.08000
2014-01-03,113.11000
2014-01-04,77.86000
2014-01-05,144.91000
2014-01-06,121.14000
2014-01-07,93.88000
2014-01-08,106.42000
2014-01-09,60.31000
2014-01-10,67.96000
2014-01-11,63.29000
2014-01-12,130.09000
2014-01-13,100.01000
2014-01-14,57.03000
2014-01-15,67.70000
2014-01-16,80.94000
2014-01-17,66.52000
2014-01-18,36.74000
2014-01-19,54.61000
2014-01-20,118.21000
2014-01-21,93.53000
2014-01-22,141.56000
2014-01-23,92.85000
2014-01-24,84.12000
2014-01-25,70.48000
2014-01-26,98.10000
2014-01-27,75.34000
2014-01-28,162.84000
2014-01-29,178.46000
2014-01-30,86.19000
2014-01-31,44.12000
2014-02-01,20.22000
2014-02-02,60.30000
2014-02-03,77.68000
2014-02-04,72.24000
2014-02-05,103.64000
2014-02-06,137.27000
2014-02-07,71.97000
2014-02-08,49.83000
2014-02-09,81.59000
2014-02-10,67.15000
2014-02-11,78.69000
2014-02-12,50.56000
2014-02-13,55.58000
2014-02-14,43.97000
2014-02-15,68.03000
2014-02-16,139.89000
2014-02-17,78.93000
2014-02-18,64.56000
2014-02-19,64.88000
2014-02-20,67.61000
2014-02-21,120.78000
2014-02-22,144.80000
2014-02-23,140.59000
2014-02-24,130.38000
2014-02-25,123.05000
2014-02-26,87.53000
2014-02-27,64.84000
2014-02-28,71.20000
2014-03-01,49.83000
2014-03-02,61.06000
2014-03-03,59.55000
2014-03-04,48.72000
2014-03-05,54.92000
2014-03-06,59.46000
2014-03-07,59.24000
2014-03-08,54.20000
2014-03-09,71.32000
2014-03-10,78.46000
2014-03-11,63.35000
2014-03-12,24.21000
2014-03-13,45.47000
2014-03-14,74.00000
2014-03-15,46.45000
2014-03-16,60.58000
2014-03-17,76.93000
2014-03-18,77.69000
2014-03-19,48.95000
2014-03-20,147.38000
2014-03-21,118.59000
2014-03-22,170.52000
2014-03-23,259.88000
2014-03-24,73.83000
2014-03-25,17.16000
2014-03-26,63.13000
2014-03-27,50.81000
2014-03-28,86.49000
2014-03-29,59.78000
2014-03-30,53.83000
2014-03-31,45.06000
2014-04-01,78.62000
2014-04-02,48.76000
2014-04-03,55.73000
2014-04-04,56.51000
2014-04-05,29.41000
2014-04-06,52.98000
2014-04-07,83.61000
2014-04-08,154.81000
2014-04-09,48.04000
2014-04-10,37.87000
2014-04-11,24.93000
2014-04-12,66.57000
2014-04-13,91.21000
2014-04-14,160.58000
2014-04-15,46.80000
2014-04-16,44.05000
2014-04-17,25.15000
2014-04-18,51.83000
2014-04-19,51.59000
2014-04-20,83.81000
2014-04-21,61.87000
2014-04-22,51.29000
2014-04-23,58.66000
2014-04-24,51.78000
2014-04-25,62.12000
2014-04-26,80.87000
2014-04-27,68.09000
2014-04-28,86.12000
2014-04-29,64.01000
2014-04-30,35.13000
2014-05-01,70.50000
2014-05-02,52.59000
2014-05-03,41.58000
2014-05-04,187.89000
2014-05-05,82.21000
2014-05-06,98.03000
2014-05-07,52.67000
2014-05-08,125.36000
2014-05-09,55.25000
2014-05-10,57.11000
2014-05-11,54.05000
2014-05-12,77.42000
2014-05-13,87.93000
2014-05-14,89.46000
2014-05-15,64.81000
2014-05-16,83.17000
2014-05-17,18.35000
2014-05-18,45.83000
2014-05-19,53.82000
2014-05-20,69.59000
2014-05-21,64.03000
2014-05-22,33.53000
2014-05-23,80.12000
2014-05-24,43.14000
2014-05-25,61.87000
2014-05-26,32.79000
2014-05-27,50.23000
2014-05-28,123.09000
2014-05-29,35.24000
2014-05-30,66.44000
2014-05-31,62.38000
2014-06-01,83.16000
2014-06-02,75.40000
2014-06-03,225.30000
2014-06-04,46.18000
2014-06-05,49.48000
2014-06-06,40.75000
2014-06-07,79.59000
2014-06-08,178.63000
2014-06-09,66.76000
2014-06-10,52.35000
2014-06-11,125.44000
2014-06-12,100.98000
2014-06-13,47.20000
2014-06-14,57.97000
2014-06-15,48.58000
2014-06-16,55.79000
2014-06-17,20.72000
2014-06-18,59.16000
2014-06-19,81.39000
2014-06-20,57.19000
2014-06-21,80.29000
2014-06-22,48.23000
2014-06-23,107.54000
2014-06-24,58.69000
2014-06-25,54.36000
2014-06-26,22.32000
2014-06-27,24.48000
2014-06-28,13.92000
2014-06-29,61.06000
2014-06-30,43.97000
2014-07-01,94.53000
2014-07-02,85.01000
2014-07-03,41.51000
2014-07-04,52.44000
2014-07-05,79.35000
2014-07-06,124.77000
2014-07-07,61.40000
2014-07-08,28.93000
2014-07-09,49.91000
2014-07-10,48.39000
2014-07-11,50.23000
2014-07-12,75.13000
2014-07-13,134.75000
2014-07-14,124.54000
2014-07-15,116.32000
2014-07-16,131.66000
2014-07-17,72.31000
2014-07-18,77.84000
2014-07-19,88.06000
2014-07-20,44.15000
2014-07-21,67.14000
2014-07-22,56.64000
2014-07-23,49.67000
2014-07-24,36.53000
2014-07-25,34.26000
2014-07-26,56.98000
2014-07-27,62.97000
2014-07-28,49.75000
2014-07-29,44.45000
2014-07-30,117.01000
2014-07-31,87.58000
2014-08-01,53.10000
2014-08-02,92.27000
2014-08-03,91.65000
2014-08-04,131.99000
2014-08-05,80.24000
2014-08-06,32.50000
2014-08-07,41.62000
2014-08-08,61.58000
2014-08-09,34.97000
