DATE,NROU
2021-07-01,4.71
2021-10-01,4.71
2022-01-01,4.71
2022-04-01,4.71
2022-07-01,4.71
2022-10-01,4.71
2023-01-01,4.70
2023-04-01,4.70
2023-07-01,4.70
2023-10-01,4.70
2024-01-01,4.70
2024-04-01,4.70
2024-07-01,4.69
2024-10-01,4.69
2025-01-01,4.69
2025-04-01,4.69
2025-07-01,4.69
2025-10-01,4.69
2026-01-01,4.69
2026-04-01,4.68
2026-07-01,4.68
2026-10-01,4.68
2027-01-01,4.67
2027-04-01,4.67
2027-07-01,4.66
2027-10-01,4.65
