,Name, Gold,Bond_rate,Breakeven_Inflation,Case_shiller,Cons_price_index,Construction_spending,Corp_profits,Debt,Exchange_rate,GDP,Housing_starts,Ind_production,Oil,Prod_price_index,Unemployment
0,A,-0.453120357945,-0.369056785189,-0.546376406064,0.867263310355,0.901559441945,0.866202391084,0.596926944892,0.826941771731,0.733224226664,0.885172120819,0.837133637544,0.791442727651,-0.52526179017,-0.125368187328,-0.857846326078
1,AAP,-0.540815453038,-0.433793709859,-0.676776252212,0.919768803374,0.939790076765,0.94623295398,0.627644762072,0.783365360781,0.816122958521,0.936949964633,0.900593218744,0.85909932409,-0.655843958264,-0.182930210679,-0.915191991104
2,AAPL,-0.354827219958,-0.571170808841,-0.607131563801,0.823218612172,0.908232409036,0.884695968364,0.713557895643,0.824155556642,0.762997955362,0.928141018789,0.844575159755,0.871693945369,-0.570154937204,-0.0704764678817,-0.833837959028
3,ABC,-0.563628186446,-0.380667245959,-0.597350733105,0.879677183414,0.89430460148,0.888344015157,0.715941684729,0.786166084431,0.752941411602,0.906086908525,0.867960583138,0.877429079469,-0.616045750072,-0.125523785934,-0.868852940556
4,ABT,-0.426483771717,-0.512232778119,-0.499526147429,0.855085597421,0.920553491879,0.884007894686,0.808517467837,0.901200544111,0.706290396792,0.916704035212,0.915232843197,0.941537127512,-0.508510720513,0.00733414957826,-0.836432058872
5,ACN,-0.40386776197,-0.571256963389,-0.661405552138,0.922316603279,0.98712059455,0.962482422897,0.599484557402,0.86759951675,0.877676758977,0.982873972446,0.930282134797,0.804890884236,-0.698115061296,-0.238815013534,-0.942570476884
6,ADBE,-0.578472245854,-0.403206761442,-0.702026647401,0.973259732652,0.969431092432,0.983518483054,0.585710114618,0.800858647905,0.909037099502,0.957648145877,0.912505400281,0.756141868998,-0.74137077604,-0.335993317105,-0.960611464369
7,ADI,-0.441078531346,-0.498460786916,-0.615480798268,0.911486475499,0.954910052749,0.935711163671,0.659552631683,0.840151860647,0.841378334993,0.945930725715,0.889220611757,0.802326453446,-0.65336433416,-0.210744536649,-0.907427163275
8,ADM,-0.533554804333,-0.267253598494,-0.475788812909,0.83222655228,0.813579169805,0.804184018931,0.65330641522,0.76767857273,0.612685974067,0.794014576181,0.769156802814,0.834826369884,-0.440179376865,-0.0250491021482,-0.791597379763
9,ADP,-0.491963870814,-0.491554442532,-0.652985873099,0.947834798909,0.984228889827,0.962896144324,0.664794327821,0.87014843017,0.851303529198,0.97959847883,0.928477056491,0.851321236053,-0.667234504532,-0.194414772192,-0.944164585324
10,ADS,-0.407506579827,-0.397158620859,-0.376938117814,0.768527356352,0.82599763439,0.772450843934,0.824494503523,0.850070842345,0.535469997151,0.795837785512,0.843746066511,0.951105524594,-0.320192642802,0.189804127659,-0.69909168256
11,ADSK,-0.493793563786,-0.346544091774,-0.627426251513,0.883474195199,0.880612384469,0.881091766377,0.552923201212,0.717702466388,0.796021886779,0.859617087155,0.807641555684,0.710535224373,-0.622489384019,-0.257597242441,-0.856725772046
12,AEE,-0.443848149499,-0.518093853162,-0.68373689376,0.936382802213,0.980353652787,0.962540431916,0.582228103298,0.843019410828,0.870717266089,0.967926075655,0.914344534869,0.792916811717,-0.682076229817,-0.240845705289,-0.943138070521
13,AEP,-0.463035008432,-0.524003228518,-0.665865229909,0.939386276372,0.982645692478,0.965525480612,0.625881786319,0.85988406991,0.860372938723,0.976401663324,0.933366814324,0.829440360656,-0.68365645154,-0.222098500468,-0.948912470906
14,AES,-0.0885335722695,-0.0767961718636,0.0191020697743,0.270672324357,0.309201274276,0.229488656957,0.359551037363,0.485883297262,0.000635435852952,0.200521473116,0.29700841667,0.504904526288,0.187101339017,0.367762345611,-0.164087079089
15,AET,-0.530055405405,-0.46532325538,-0.699071376873,0.948446650704,0.97430685203,0.975256312568,0.610245813381,0.82786454555,0.887150006846,0.979144145349,0.911684865225,0.814020293927,-0.732895262107,-0.272727029733,-0.960324487703
16,AFL,-0.57836874093,-0.382340085124,-0.636222326276,0.921712821198,0.888548208042,0.891510345934,0.61444320691,0.796318202995,0.806262712173,0.88310241167,0.849892462865,0.718062432108,-0.655378588396,-0.309143424211,-0.905753188219
17,AGN,-0.587967056837,-0.357699009861,-0.59511269918,0.8837667467,0.892776188528,0.891459140194,0.711611811024,0.771454418745,0.739740949852,0.895618514045,0.878391626398,0.888256948967,-0.591499437405,-0.10214884486,-0.861600636352
18,AIG,-0.693610557403,-0.313916285223,-0.643566303038,0.927361511708,0.860473861318,0.898847127222,0.669078573758,0.73961349657,0.810475401973,0.880087825006,0.841634184321,0.723494292081,-0.683365068333,-0.341419351339,-0.916295550624
19,AIV,-0.469754170973,-0.520887931566,-0.691845105738,0.928927074578,0.968851369749,0.963291348313,0.581970788107,0.826441026453,0.887735747416,0.975118917212,0.905197848774,0.78167676228,-0.734454894727,-0.295748812922,-0.957277216648
20,AIZ,-0.570355767049,-0.391404524884,-0.693784589873,0.97155808343,0.960551930011,0.971594731813,0.556553618496,0.802983377254,0.885453185291,0.948672270453,0.906074323148,0.751790239998,-0.704548192322,-0.302265052781,-0.963983148082
21,AJG,-0.336569780391,-0.561618200165,-0.491003278274,0.863726831641,0.941941940075,0.88251368653,0.73701293853,0.942234774701,0.708750869756,0.90869906445,0.915460554649,0.895836772193,-0.467762881566,0.00659102934502,-0.83415712549
22,AKAM,-0.66902756325,-0.242322940606,-0.573157735493,0.809710093347,0.733989401267,0.783960878141,0.664222889925,0.598927364828,0.676359578176,0.733700970563,0.73449774536,0.709601321987,-0.589036649932,-0.251758408824,-0.766555857568
