,Name, Gold,Bond_rate,Breakeven_Inflation,Case_shiller,Cons_price_index,Construction_spending,Corp_profits,Debt,Exchange_rate,GDP,Housing_starts,Ind_production,Oil,Prod_price_index,Unemployment
0,A,-0.446901990521,-0.332913951113,-0.4905024808,0.85930998999,0.899959621921,0.866333908874,0.607630447749,0.833232816239,0.698526002709,0.895935614451,0.836680210974,0.809720945272,-0.479089683027,-0.0527305234859,-0.859377305782
1,AAP,-0.532972694429,-0.446270613762,-0.692270578302,0.914375832665,0.945015205712,0.952072033964,0.644736114249,0.782002463985,0.843158949577,0.971171440169,0.899605385014,0.847114573699,-0.683974857985,-0.21064048182,-0.942476358174
2,AAPL,-0.330819004779,-0.606756622979,-0.594118040583,0.812593013797,0.906148655577,0.884274823684,0.737830242769,0.809103318814,0.761303085237,0.945619230647,0.858681320124,0.868895400981,-0.590169564446,-0.0868163539406,-0.844905403519
3,ABC,-0.574994125399,-0.38494974327,-0.641293865638,0.885590220872,0.89867455641,0.904223646371,0.632344963167,0.747544160717,0.788161457158,0.924548563163,0.870510519827,0.848016190638,-0.659874871872,-0.177865787785,-0.902677878415
4,ABT,-0.47201852505,-0.503424787972,-0.541536528237,0.874602399432,0.921148812392,0.898793087396,0.782233425768,0.859486786814,0.728525767145,0.932774979358,0.920560241861,0.915628037468,-0.5532345398,-0.0445216086947,-0.870030058272
5,ACN,-0.404335885836,-0.556220900797,-0.641767900695,0.924566144843,0.987396078172,0.962691028027,0.60253553842,0.872553398013,0.866654420662,0.976257798935,0.930914716062,0.797850494482,-0.679258157024,-0.222726152358,-0.93920934096
6,ADBE,-0.598957592764,-0.378001183396,-0.704788010294,0.974650013977,0.963780998146,0.982148182375,0.569520278023,0.781417715369,0.90714171554,0.962485149745,0.900014991058,0.743622090318,-0.747484105452,-0.349003246098,-0.976610589106
7,ADI,-0.455259400668,-0.475053034237,-0.591593872676,0.916710826423,0.963186009943,0.946532158372,0.650531143826,0.840341671851,0.830190523857,0.952310637764,0.909589403518,0.828051982437,-0.629496459106,-0.173787887699,-0.914739943609
8,ADM,-0.575824453613,-0.227503327878,-0.488991779508,0.832143346253,0.810910697383,0.814001513901,0.685644713757,0.719775983315,0.628310198724,0.837556533191,0.788040473526,0.825505439603,-0.461172073698,-0.0340217702222,-0.81481023757
9,ADP,-0.505617727457,-0.480892999201,-0.66338876793,0.946945294377,0.983301320071,0.969295097928,0.651968611407,0.855312858013,0.862090429287,0.983004178762,0.931288998919,0.844486684863,-0.680596881042,-0.211783289942,-0.949136895082
10,ADS,-0.452045831236,-0.384760114383,-0.421745562078,0.791962241182,0.842891839289,0.802931842187,0.787443255044,0.8109601544,0.5804805868,0.833964472948,0.856030055481,0.942622321854,-0.375143108061,0.130611381614,-0.757185304378
11,ADSK,-0.49555460759,-0.319770143886,-0.569569198621,0.862136355922,0.881991063052,0.875136126124,0.579646579677,0.736798965425,0.774808678308,0.892416890353,0.801327859659,0.739129140885,-0.595419156562,-0.213363101539,-0.874831965601
12,AEE,-0.437200494337,-0.544475309417,-0.700097843946,0.933309825893,0.981041196725,0.963333903148,0.60200063023,0.860373301696,0.872544682483,0.969934996453,0.910199413136,0.804116062224,-0.688564348405,-0.23997371913,-0.93693970332
13,AEP,-0.457505107526,-0.550634485252,-0.690779940803,0.940948961123,0.981663673405,0.967058940562,0.615189603211,0.869026818114,0.866121319261,0.975361905645,0.928122770067,0.82503707494,-0.703599687253,-0.238237749731,-0.948873544386
14,AES,-0.168208704165,0.000739165704196,0.0789970836455,0.305759481768,0.330114888626,0.278360302135,0.498083757004,0.48387836786,0.00278178903774,0.3070448952,0.336682769771,0.536627428925,0.207276281146,0.428249076108,-0.221586577884
15,AET,-0.539508165578,-0.452508609726,-0.706054348706,0.951932817791,0.971874007311,0.981015544535,0.58185885448,0.805930740029,0.895955244358,0.981344638811,0.911887384599,0.793979414515,-0.737542502893,-0.284717565887,-0.970892606865
16,AFL,-0.606731028018,-0.281143158357,-0.580173415715,0.912934222501,0.875768179462,0.883552291946,0.587723699775,0.767650171756,0.775416361848,0.876452706559,0.835815694799,0.700374689288,-0.6090226681,-0.284491843304,-0.905322439397
17,AGN,-0.59188016679,-0.378605882485,-0.657577040838,0.895019146027,0.902043537868,0.909122129942,0.630168967994,0.750515631218,0.782109206051,0.920872472079,0.871786990195,0.859840677794,-0.651057775856,-0.164635742716,-0.902213365257
18,AIG,-0.711086860374,-0.220165012452,-0.604434596537,0.922235707826,0.851593369593,0.887286739619,0.622411418897,0.670532008288,0.798963571134,0.876238934426,0.821349586387,0.716928187733,-0.663159399305,-0.322713027066,-0.929197017247
19,AIV,-0.443209574171,-0.535586461032,-0.690294234228,0.927400356335,0.966910358618,0.957138481587,0.587618460083,0.818562644947,0.881028018284,0.97348088973,0.891905273454,0.78355403382,-0.727380971492,-0.271982100619,-0.951824993265
20,AIZ,-0.578894556391,-0.373969390011,-0.705137528267,0.966798412537,0.957423298138,0.965764581453,0.558477536295,0.783954206502,0.876182967656,0.948417525785,0.898102485969,0.758493421498,-0.693473731774,-0.291834025662,-0.961814273064
21,AJG,-0.373238070941,-0.524784241446,-0.476125912556,0.870701644631,0.940608940788,0.887476488056,0.791893986476,0.923701567591,0.693817440857,0.921172154171,0.919160712282,0.915723172506,-0.450536071746,0.0341381110641,-0.843491532556
22,AKAM,-0.670984977727,-0.201423554728,-0.554139960113,0.800365178189,0.733609944935,0.785002069802,0.638843328089,0.559942480405,0.689060823603,0.7898933478,0.714647795416,0.710326522467,-0.582865133731,-0.241812632767,-0.825458346727
23,ALB,-0.0186192539223,-0.414449192464,-0.203971848462,0.566282661687,0.668404548176,0.58832633334,0.440281345933,0.726022052236,0.443874182993,0.631158306178,0.59077883622,0.538936023044,-0.181764538357,0.0915023576824,-0.56209357054
24,ALGN,-0.474282477565,-0.463859826703,-0.647926865605,0.943821201958,0.967061323771,0.957338049776,0.615212578112,0.837550496825,0.852128497305,0.948192523044,0.90244861671,0.768282462669,-0.645577604039,-0.237683276225,-0.924303931456
25,ALK,-0.574283602654,-0.417991612921,-0.720662931217,0.944870733885,0.957787300038,0.973757508386,0.579032265418,0.769651029642,0.912866987357,0.972847993582,0.90516106313,0.780741551005,-0.76603688235,-0.323001736799,-0.970816357446
26,ALL,-0.552283777234,-0.438762490935,-0.596800258824,0.942793496462,0.958202976913,0.947325167568,0.720625848208,0.858684522613,0.811809950031,0.955395456123,0.932988989592,0.866897489679,-0.638073369468,-0.177418900822,-0.933315735155
27,ALXN,-0.370968503409,-0.475434925605,-0.442406238003,0.754342376744,0.839080997528,0.792571202546,0.785160806144,0.812015301002,0.578378295618,0.831760102622,0.84107908841,0.953072828546,-0.383530266286,0.148487950438,-0.724563386586
28,AMAT,-0.515513708793,-0.276639585873,-0.554667675168,0.877767229717,0.853528651899,0.85673969442,0.554201137523,0.716949383399,0.755700858984,0.833739230723,0.768678070804,0.678426211809,-0.581947761742,-0.234913815403,-0.838698739903
29,AMD,0.0686469717779,0.507039714609,0.196908147568,-0.355790904467,-0.45929116115,-0.385729570279,-0.368332880788,-0.362856137917,-0.209640614445,-0.243251704417,-0.550451054062,-0.692256927114,0.141404129478,-0.273303419795,0.154981807616
30,AME,-0.381286275654,-0.464024081359,-0.410988877894,0.808593350327,0.889580484469,0.828143919441,0.79055579491,0.895592850013,0.60759776427,0.879567037121,0.895823198465,0.959705303561,-0.376156031748,0.141352186997,-0.792977586421
31,AMG,-0.376178505362,-0.30073252261,-0.225740432124,0.654462205067,0.705404261353,0.646903059003,0.782170395963,0.752308245049,0.380798918092,0.679207544138,0.746770397043,0.898609527942,-0.187657558916,0.275311497753,-0.595594465094
32,AMGN,-0.538658888464,-0.483051568739,-0.656580702033,0.943144562519,0.96566122004,0.957860620549,0.702289372322,0.844120309194,0.834927645395,0.975133402538,0.932655524597,0.866069961483,-0.675670566417,-0.197971259463,-0.943762192697
33,AMP,-0.559900217737,-0.287839097565,-0.464941421435,0.846150766638,0.851696476729,0.833250240533,0.750843676108,0.783259653824,0.632749890955,0.864337781421,0.84506674553,0.900917274768,-0.452569028556,0.0184963345837,-0.826033689032
34,AMZN,-0.420364441975,-0.484763799314,-0.702311811443,0.906937972742,0.929255954614,0.930433424053,0.465448497306,0.747909683168,0.898951088674,0.918501581519,0.84565499571,0.62878738292,-0.73627018906,-0.377829589531,-0.919358544032
35,ANDV,-0.49477032815,-0.498679995565,-0.635864560544,0.898426680926,0.944180244351,0.92925771264,0.64619618231,0.808513866265,0.835570426588,0.961091976782,0.919553755142,0.838732450001,-0.689792278906,-0.204971676891,-0.927021044703
36,ANSS,-0.328378636106,-0.566183692399,-0.483133876755,0.838381080617,0.937366058682,0.873569200353,0.75539270128,0.923387863419,0.712397952168,0.930782703604,0.926485667172,0.895585225719,-0.478778308297,0.0111232353118,-0.842369595684
37,ANTM,-0.593537893264,-0.363071683322,-0.694414504205,0.913486088421,0.916527321761,0.939111087798,0.568372695196,0.742037062663,0.855430721567,0.949356548733,0.857959893719,0.783358196775,-0.726553614136,-0.275312547835,-0.94123629045
38,AON,-0.529413321406,-0.421914248967,-0.632692469638,0.95540088777,0.973264464734,0.967233166246,0.639991177971,0.849115703134,0.834111251095,0.968016576597,0.922696689444,0.836080231728,-0.651710780687,-0.194692899771,-0.951078875421
39,AOS,-0.511078877923,-0.470685999569,-0.698868813661,0.961717281125,0.973992777384,0.977955762678,0.578930195388,0.80534145403,0.906319927516,0.966019382913,0.91079136889,0.744538024224,-0.738210289129,-0.330620785481,-0.963472239643
40,APA,0.406892986375,0.596555741343,0.709549049352,-0.777333993864,-0.820118941389,-0.833977605826,-0.562731180234,-0.685702869763,-0.834978144375,-0.856998350539,-0.820718420841,-0.654360662286,0.75744317001,0.361741391295,0.83841073244
41,APC,0.162185233764,0.0612799849579,0.474411427027,-0.0786983377433,-0.00306098854927,-0.105976072432,0.382823473758,0.235226938908,-0.395090381372,-0.0734920179627,0.0597087358049,0.385607185353,0.564434972009,0.754049047612,0.203593673932
42,APD,-0.552756505914,-0.406205374385,-0.685743950574,0.932414688878,0.942842890469,0.946375854289,0.60832497834,0.793164039651,0.829468781931,0.955818424782,0.876272825299,0.831968560815,-0.677870666363,-0.218494404794,-0.940381337653
43,APH,-0.522254706996,-0.453067196679,-0.625357763734,0.950165125241,0.972176417429,0.963086618211,0.675740409964,0.849774034412,0.840048005781,0.970046787584,0.92134981518,0.842368453123,-0.6583648957,-0.203752931541,-0.946881305507
44,ARE,-0.441617065476,-0.44631288913,-0.697839923187,0.86233864766,0.874955536966,0.89846319912,0.480161132733,0.672233199527,0.882445073404,0.897479738791,0.77376471561,0.616926483666,-0.770702107424,-0.403583295631,-0.898243258741
